file,prompt_tokens,completion_tokens,prefill_ms,prefill_tok_s,decode_ms,decode_tok_s,wall_ms
ctx_001_000256.txt,2784,128,1928.023,1443.966176752041,1348.558,94.91619937740906,3304.391622543335
ctx_002_000512.txt,255,128,370.379,688.4839583237709,1312.343,97.53547662463242,1839.848279953003
ctx_003_001024.txt,504,128,457.896,1100.6866187955345,1309.561,97.74267865338079,1806.1811923980713
ctx_004_002048.txt,1017,128,797.493,1275.246303102347,1325.595,96.56041249401213,2185.333490371704
ctx_005_004096.txt,2044,128,1375.879,1485.5957536963645,1334.31,95.92973147169698,2861.524820327759
ctx_006_006144.txt,4076,128,2674.22,1524.1827523539575,1352.136,94.66503369483543,4218.207597732544
ctx_007_008192.txt,6142,128,3879.99,1582.9937706025014,1377.389,92.92944839838275,5511.040687561035
ctx_008_012288.txt,8164,128,5288.938,1543.599111957826,1399.764,91.44398627197157,7005.212306976318
ctx_009_016384.txt,12280,128,8068.112,1522.0413400309762,1441.927,88.7700972379323,9903.909683227539
ctx_010_024576.txt,16373,128,11085.572,1476.9648332084262,1485.2,86.18367896579585,13081.35437965393
ctx_011_032768.txt,24560,128,17405.086,1411.081795286734,1574.493,81.29601084285545,19653.759479522705
ctx_012_065536.txt,32761,128,23987.999,1365.72458586479,1656.841,77.25545179048564,26549.992084503174
